Parent Lineage,Child Lineage,Embedding Distance,Fitness Difference
B.1.617.2,AY.1,1.7617136240005493,-0.003208533860743046
B.1.617.2,AY.2,1.8857240676879883,-0.19140620529651642
B.1.617.2,AY.3,0.6475328803062439,0.050495851784944534
B.1.617.2,AY.4,2.4951119422912598,0.03722134977579117
B.1.617.2,AY.5,0.6475328803062439,-0.01764860935509205
B.1.617.2,AY.13,1.2490122318267822,-0.11224860697984695
B.1.617.2,AY.14,0.9884063005447388,-0.08914482593536377
B.1.617.2,AY.20,3.6638686656951904,0.03612159565091133
B.1.617.2,AY.25,1.7278331518173218,0.04074355959892273
B.1.617.2,AY.26,1.4619559049606323,0.006609956733882427
B.1.617.2,AY.33,2.0812435150146484,0.158558651804924
B.1.617.2,AY.35,1.1825227737426758,-0.13268496096134186
B.1.617.2,AY.37,1.4874048233032227,0.035954516381025314
B.1.617.2,AY.39,2.4951119422912598,0.053696077316999435
B.1.617.2,AY.43,0.6475328803062439,0.0832054391503334
B.1.617.2,AY.44,0.6475328803062439,0.006392506882548332
B.1.617.2,AY.47,1.9198018312454224,0.034355781972408295
B.1.617.2,AY.48,0.9372410178184509,-0.11849494278430939
B.1.617.2,AY.52,1.1367219686508179,-0.18608812987804413
B.1.617.2,AY.54,0.6924018859863281,-0.04858114942908287
B.1.617.2,AY.62,1.4576232433319092,-0.06821347773075104
B.1.617.2,AY.64,1.6153686046600342,-0.04809664934873581
B.1.617.2,AY.67,1.77695631980896,-0.11276187747716904
B.1.617.2,AY.75,1.2894352674484253,-0.02708970382809639
B.1.617.2,AY.98,0.6475328803062439,
B.1.617.2,AY.100,2.4951119422912598,0.127482071518898
B.1.617.2,AY.103,0.6475328803062439,0.06622838973999023
B.1.617.2,AY.107,2.789907217025757,0.031127171590924263
B.1.617.2,AY.110,1.261625051498413,-0.051666125655174255
B.1.617.2,AY.113,2.8356008529663086,0.15308578312397003
B.1.617.2,AY.114,2.4951119422912598,0.016108838841319084
B.1.617.2,AY.117,1.4353171586990356,0.04502226039767265
B.1.617.2,AY.118,2.4951119422912598,0.027191348373889923
B.1.617.2,AY.119,2.566251277923584,0.029935197904706
B.1.617.2,AY.122,0.6617641448974609,0.008635913021862507
